NO.,YEAR OF INITIATION,SHORT CASE NAME,FULL CASE NAME,APPLICABLE IIA,ARBITRAL RULES,ADMINISTERING INSTITUTION,STATUS/OUTCOME OF ORIGINAL PROCEEDINGS,RESPONDENT STATE,HOME STATE OF INVESTOR,ECONOMIC SECTOR,ECONOMIC SUBSECTOR,SUMMARY OF THE DISPUTE, DETAILS OF INVESTMENT,ARBITRATORS,DECISIONS,INDIVIDUAL OPINIONS DETAILS,AMOUNT CLAIMED (EXPRESSED IN MILLIONS),AMOUNT AWARDED (OR SETTLED FOR) (EXPRESSED IN MILLIONS),IIA BREACHES ALLEGED,IIA BREACHES FOUND,FOLLOW-ON PROCEEDING TYPE,FOLLOW-ON PROCEEDING STATUS,FOLLOW-ON DECISIONS,FOLLOW-ON INDIVIDUAL OPINIONS,ICSID ANNULMENT COMMITTEE MEMBERS,LINK TO ITALAW'S CASE PAGE,LINKS TO BACKGROUND SOURCES,CASE NO.,Summary,Notes,country_clean,country_iso3,extraction_method
37,2023,Klesch v. EU,Klesch Group Holdings Limited & others v. European Union (ICSID Case No. ARB(AF)/23/1),The Energy Charter Treaty (1994),ICSID AF (ICSID Additional Facility),ICSID (International Centre for Settlement of Investment Disputes),Pending,European Union,"Germany;
Denmark;
United Kingdom",Secondary - C - Manufacturing,19 - Manufacture of coke and refined petroleum products,,,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Pending,,,,No follow-up proceedings initiated,,Not available,"https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB(AF)/23/1;
https://globalarbitrationreview.com/article/investor-files-trio-of-claims-against-eu-denmark-and-germany;
https://www.iareporter.com/articles/refinery-group-lodges-trio-of-ect-cases-against-the-european-union-denmark-and-germany/",ARB(AF)/23/1,,,,,unmatched
314,2019,Nord Stream 2 v. EU,Nord Stream 2 AG v. European Union (PCA Case No. 2020-07),The Energy Charter Treaty (1994),UNCITRAL,PCA (Permanent Court of Arbitration),Pending,European Union,Switzerland,"Tertiary - H - Transportation and storage;
Tertiary - F - Construction","49 - Land transport and transport via pipelines;
42 - Civil engineering","Claims arising out of the EU’s actions related to the EU Gas Directive amendment of 2019 that impact new gas transmission lines to and from third countries and allegedly put the Nord Stream 2 gas pipeline project at a disadvantage, by treating it as ineligible for a derogation from the amended Directive that existing pipelines benefit from.","Investments in a pipeline project to transport gas from the Russian Federation to the German coast via the Baltic Sea, including contracts for the supply of pipes, long term gas transportation agreements and financing agreements with several lenders.","Ramírez Hernández, R. - President; Unterhalter, D. - Claimant; Sands, P. - Respondent",Data not available,Data not available,Data not available,Data not available,"Fair and equitable treatment/Minimum standard of treatment, including denial of justice claims;
Full protection and security, or similar;
Most-favoured nation treatment;
Arbitrary, unreasonable and/or discriminatory measures;
Other;
Indirect expropriation",Pending,,,,No follow-up proceedings initiated,,https://www.italaw.com/cases/8187,"https://ec.europa.eu/trade/policy/accessing-markets/dispute-settlement/investment-disputes/;
https://www.nord-stream2.com/en/download/document/284/;
https://data.consilium.europa.eu/doc/document/ST-11369-2019-INIT/en/pdf;
https://www.iisd.org/itn/2019/12/17/nord-stream-2-pipeline-spat-with-eu-evolves-into-ect-dispute/;
https://www.iareporter.com/articles/eu-succeeds-in-disqualifying-nord-stream-2s-nominated-arbitrator-in-high-stakes-energy-charter-treaty-arbitration/;
https://www.iareporter.com/articles/russian-backed-project-investor-nord-stream-2-files-arbitration-against-european-union-under-the-energy-charter-treaty/;
https://pca-cpa.org/en/cases/239/",,,,,,unmatched
1,2025,AEROC Investment v. Ukraine,,,,,Pending,Ukraine,,Secondary: C - Manufacturing ,23 - Manufacture of other non-metallic mineral products ,,,,Data not available,,,,,,,,Data not available,,,,,ARB/25/28 ,"Investment: Ownership of the local subsidiary Aeroc LLC, a manufacturer of autoclaved aerated concrete for use in construction.

Summary: Claims arising out of the Government’s nationalization of the claimant’s local subsidiary and its two concrete plants, following Ukraine’s imposition of sanctions on the LSR Group PJSC incorporated in the Russian Federation.",,,,
2,2025,Afik and others v. Cyprus,,,,,Pending,Cyprus,,Tertiary: F – Construction Tertiary: L - Real estate activities ,41 - Construction of buildings 68 - Real estate activities ,,,,Data not available,,,,,,,,Data not available,,,,,ARB/25/45 ,"Investment:

Summary:",,,,
3,2025,Air Liquide and Azerus v. Mexico,,,,,Pending,Mexico,,Secondary: C - Manufacturing ,20 - Manufacture of chemicals and chemical products ,,,,Data not available,,,,,,,,Data not available,,,,,ARB/25/17 ,"Investment: Ownership of a hydrogen production plant, located inside the Miguel Hidalgo Refinery in Tula de Allende, and a long-term agreement to supply hydrogen to state-owned oil company PEMEX for use in the petroleum refining process.

Summary: Claims arising out of the Government’s 2024 decree expropriating the claimants’ hydrogen production plant in favour of state-owned company Petróleos Mexicanos (PEMEX), after an earlier decree for temporary occupation ordering PEMEX to operate and maintain the plant.",,,,
4,2025,Alam and others v. Bangladesh,,,,,Pending,Bangladesh,,Tertiary: K - Financial and insurance activities ,"64 - Financial service activities, except insurance and pension funding ",,,,Data not available,,,,,,,,Data not available,,,,,ARB/25/52 ,"Investment:

Summary:",,,,
5,2025,Allianz v. Mexico,,,,,Pending,Mexico,,Tertiary: K - Financial and insurance activities ,"65 - Insurance, reinsurance and pension funding, except compulsory social security ",,,,Data not available,,,,,,,,Data not available,,,,,ARB/25/32 ,"Investment: Ownership (100 per cent) of the local subsidiary Allianz México S.A. Compañía de Seguros.

Summary:",,,,
6,2025,Amec Foster Wheeler and others v. Colombia (II),,,,,Pending,Colombia,,"Tertiary: M - Professional, scientific and technical activities ",71 - Architectural and engineering activities; technical testing and analysis ,,,,Data not available,,,,,,,,Data not available,,,,,ARB/25/16 ,"Investment:

Summary:",,,,
7,2025,ArcelorMittal v. Italy,,,,,Pending,Italy,,Secondary: C - Manufacturing ,24 - Manufacture of basic metals ,,,,Data not available,,,,,,,,Data not available,,,,,ARB/25/34 ,"Investment: Indirect shareholding in Acciaierie d’Italia SpA (ADI, formerly Ilva) as part of a joint venture between ArcelorMittal and state-owned company Invitalia.

Summary: Claims arising out of the Government’s placement into extraordinary administration of Acciaierie d’Italia, a steel production company, resulting in the claimant’s loss of control over the company as one of the two indirect shareholders.",,,,
8,2025,Argüello v. Panama,,,,,Pending,Panama,,Tertiary: F - Construction ,41 - Construction of buildings ,,,,Data not available,,,,,,,,Data not available,,,,,ARB/25/39 ,"Investment:

Summary:",,,,
