,Parent_Code,Parent_Label,Child_Code,Child_Label
266,1400,Developing economies,004,Afghanistan
267,1400,Developing economies,012,Algeria
268,1400,Developing economies,016,American Samoa
269,1400,Developing economies,024,Angola
270,1400,Developing economies,028,Antigua and Barbuda
271,1400,Developing economies,031,Azerbaijan
272,1400,Developing economies,032,Argentina
273,1400,Developing economies,044,Bahamas
274,1400,Developing economies,048,Bahrain
275,1400,Developing economies,050,Bangladesh
276,1400,Developing economies,051,Armenia
277,1400,Developing economies,052,Barbados
278,1400,Developing economies,064,Bhutan
279,1400,Developing economies,068,Bolivia (Plurinational State of)
280,1400,Developing economies,072,Botswana
281,1400,Developing economies,074,Bouvet Island
282,1400,Developing economies,076,Brazil
283,1400,Developing economies,084,Belize
284,1400,Developing economies,086,British Indian Ocean Territory
285,1400,Developing economies,090,Solomon Islands
286,1400,Developing economies,092,British Virgin Islands
287,1400,Developing economies,096,Brunei Darussalam
288,1400,Developing economies,104,Myanmar
289,1400,Developing economies,108,Burundi
290,1400,Developing economies,116,Cambodia
291,1400,Developing economies,120,Cameroon
292,1400,Developing economies,132,Cabo Verde
293,1400,Developing economies,136,Cayman Islands
294,1400,Developing economies,140,Central African Republic
295,1400,Developing economies,144,Sri Lanka
296,1400,Developing economies,148,Chad
297,1400,Developing economies,152,Chile
298,1400,Developing economies,156,China
299,1400,Developing economies,158,"China, Taiwan Province of"
300,1400,Developing economies,170,Colombia
301,1400,Developing economies,174,Comoros
302,1400,Developing economies,175,Mayotte
303,1400,Developing economies,178,Congo
304,1400,Developing economies,180,Dem. Rep. of the Congo
305,1400,Developing economies,184,Cook Islands
306,1400,Developing economies,188,Costa Rica
307,1400,Developing economies,192,Cuba
308,1400,Developing economies,204,Benin
309,1400,Developing economies,212,Dominica
310,1400,Developing economies,214,Dominican Republic
311,1400,Developing economies,218,Ecuador
312,1400,Developing economies,222,El Salvador
313,1400,Developing economies,226,Equatorial Guinea
314,1400,Developing economies,230,Ethiopia (...1991)
315,1400,Developing economies,231,Ethiopia
316,1400,Developing economies,232,Eritrea
317,1400,Developing economies,238,Falkland Islands (Malvinas)
318,1400,Developing economies,239,South Georgia and the South Sandwich Islands
319,1400,Developing economies,242,Fiji
320,1400,Developing economies,254,French Guiana
321,1400,Developing economies,258,French Polynesia
322,1400,Developing economies,260,French Southern Territories
323,1400,Developing economies,262,Djibouti
324,1400,Developing economies,266,Gabon
325,1400,Developing economies,268,Georgia
326,1400,Developing economies,270,Gambia
327,1400,Developing economies,275,State of Palestine
328,1400,Developing economies,288,Ghana
329,1400,Developing economies,296,Kiribati
330,1400,Developing economies,308,Grenada
331,1400,Developing economies,312,Guadeloupe
332,1400,Developing economies,316,Guam
333,1400,Developing economies,320,Guatemala
334,1400,Developing economies,324,Guinea
335,1400,Developing economies,328,Guyana
336,1400,Developing economies,332,Haiti
337,1400,Developing economies,340,Honduras
338,1400,Developing economies,344,"China, Hong Kong SAR"
339,1400,Developing economies,356,India
340,1400,Developing economies,360,Indonesia
341,1400,Developing economies,364,Iran (Islamic Republic of)
342,1400,Developing economies,368,Iraq
343,1400,Developing economies,384,Cote d'Ivoire
344,1400,Developing economies,388,Jamaica
345,1400,Developing economies,398,Kazakhstan
346,1400,Developing economies,400,Jordan
347,1400,Developing economies,404,Kenya
348,1400,Developing economies,408,Dem. People's Rep. of Korea
349,1400,Developing economies,414,Kuwait
350,1400,Developing economies,417,Kyrgyzstan
351,1400,Developing economies,418,Lao People's Dem. Rep.
352,1400,Developing economies,422,Lebanon
353,1400,Developing economies,426,Lesotho
354,1400,Developing economies,430,Liberia
355,1400,Developing economies,434,Libya
356,1400,Developing economies,446,"China, Macao SAR"
357,1400,Developing economies,450,Madagascar
358,1400,Developing economies,454,Malawi
359,1400,Developing economies,458,Malaysia
360,1400,Developing economies,462,Maldives
361,1400,Developing economies,466,Mali
362,1400,Developing economies,474,Martinique
363,1400,Developing economies,478,Mauritania
364,1400,Developing economies,480,Mauritius
365,1400,Developing economies,484,Mexico
366,1400,Developing economies,496,Mongolia
367,1400,Developing economies,500,Montserrat
368,1400,Developing economies,504,Morocco
369,1400,Developing economies,508,Mozambique
370,1400,Developing economies,512,Oman
371,1400,Developing economies,516,Namibia
372,1400,Developing economies,520,Nauru
373,1400,Developing economies,524,Nepal
374,1400,Developing economies,530,Netherlands Antilles
375,1400,Developing economies,531,Curacao
376,1400,Developing economies,533,Aruba
377,1400,Developing economies,534,Sint Maarten (Dutch part)
378,1400,Developing economies,535,"Bonaire, Sint Eustatius and Saba"
379,1400,Developing economies,540,New Caledonia
380,1400,Developing economies,548,Vanuatu
381,1400,Developing economies,558,Nicaragua
382,1400,Developing economies,562,Niger
383,1400,Developing economies,566,Nigeria
384,1400,Developing economies,570,Niue
385,1400,Developing economies,580,Northern Mariana Islands
386,1400,Developing economies,582,"Pacific Islands, Trust Territory"
387,1400,Developing economies,583,Micronesia (Federated States of)
388,1400,Developing economies,584,Marshall Islands
389,1400,Developing economies,585,Palau
390,1400,Developing economies,586,Pakistan
391,1400,Developing economies,590,"Panama, excluding Canal Zone"
392,1400,Developing economies,591,Panama
393,1400,Developing economies,592,"Panama, Canal Zone"
394,1400,Developing economies,598,Papua New Guinea
395,1400,Developing economies,600,Paraguay
396,1400,Developing economies,604,Peru
397,1400,Developing economies,608,Philippines
398,1400,Developing economies,612,Pitcairn
399,1400,Developing economies,624,Guinea-Bissau
400,1400,Developing economies,626,Timor-Leste
401,1400,Developing economies,630,Puerto Rico
402,1400,Developing economies,634,Qatar
403,1400,Developing economies,638,Reunion
404,1400,Developing economies,646,Rwanda
405,1400,Developing economies,652,Saint Barthelemy
406,1400,Developing economies,654,Saint Helena
407,1400,Developing economies,659,Saint Kitts and Nevis
408,1400,Developing economies,660,Anguilla
409,1400,Developing economies,662,Saint Lucia
410,1400,Developing economies,663,Saint Martin (French part)
411,1400,Developing economies,670,Saint Vincent and the Grenadines
412,1400,Developing economies,678,Sao Tome and Principe
413,1400,Developing economies,682,Saudi Arabia
414,1400,Developing economies,686,Senegal
415,1400,Developing economies,690,Seychelles
416,1400,Developing economies,694,Sierra Leone
417,1400,Developing economies,702,Singapore
418,1400,Developing economies,704,Viet Nam
419,1400,Developing economies,706,Somalia
420,1400,Developing economies,710,South Africa
421,1400,Developing economies,716,Zimbabwe
422,1400,Developing economies,720,"Yemen, Democratic"
423,1400,Developing economies,728,South Sudan
424,1400,Developing economies,729,Sudan
425,1400,Developing economies,732,Western Sahara
426,1400,Developing economies,736,Sudan (...2011)
427,1400,Developing economies,740,Suriname
428,1400,Developing economies,748,Eswatini
