,0
0,"['ARB/26/5', 'PeruPetro, S.A.']"
1,"['ARB/25/44', 'United Republic of Tanzania and Tanzania Petroleum Development Corporation']"
2,"['ARB/25/43', 'United Republic of Tanzania and Tanzania Petroleum Development Corporation']"
3,"['ARB/25/12', 'Republic of  Ecuador and Empresa Pública de Hidrocarburos del Ecuador (EP Petroecuador)']"
4,"['ARB/24/39', 'People’s Republic of Bangladesh and Bangladesh Oil Gas and Mineral Corporation']"
5,"['ARB/22/19', 'PeruPetro S.A.']"
6,"['ARB/22/4', 'People’s Republic of Bangladesh and Bangladesh Oil, Gas and Mineral Corporation']"
7,"['ARB/20/50', 'Republic of Kosovo and others']"
8,"['ARB/19/18', 'People’s Republic of Bangladesh and Bangladesh Oil Gas and Mineral Corporation']"
9,"['CONC/19/1', 'Republic of Cameroon and Cameroon Water Utilities Cooperation (CAMWATER)']"
10,"['ARB/19/3', 'KivuWatt Limited']"
11,"['ARB/14/35', 'Boru Hatları ile Petrol Taşıma Anonim Şirketi']"
12,"['ARB/10/18', 'Bangladesh Oil Gas and Mineral Corporation (Petrobangla), Bangladesh Petroleum Exploration and Production Company Limited (Bapex)']"
13,"['ARB/13/24', 'Caravelí Cotaruse Transmisora de Energía S.A.C.']"
14,"['ARB/12/28', 'Perupetro S.A. ']"
15,"['CONC(AF)/12/2', 'CMS Energy Corporation and others ']"
16,"['ARB/10/20', 'Tanzania Electric Supply Company Limited']"
17,"['ARB/10/11', 'Bangladesh Petroleum Exploration & Production Company Limited (""Bapex"") ']"
18,"['ARB/08/10', 'Republic of Ecuador and Empresa Estatal Petróleos del Ecuador (PetroEcuador)']"
19,"['ARB/01/10', 'Empresa Estatal Petróleos del Ecuador (Petroecuador)']"
20,"['ARB/98/8', 'Independent Power Tanzania Limited ']"
21,"['ARB/92/2', 'Bangladesh and Bangladesh Oil, Gas and Mineral Corporation']"
22,"['ARB/76/1', 'Société Serete S.A.']"
23,"['ARB/07/3', 'PT Kaltim Prima Coal and others ']"
24,"['ARB/06/21', 'Republic of Ecuador and Empresa Estatal Petróleos del Ecuador (Petroecuador)']"
25,"['ARB/05/12', 'Republic of Ecuador and Consejo Nacional de Electricidad']"
