,caseid,caseno,claimant,isapproved,respondent,status,isapproved,dateregistered,isapproved,country_clean,country_iso3,extraction_method,registration_year,registration_month,registration_day,miningcase
0,1,ARB/26/22,Khalaf Ahmad Mohammad Alhabtoor and others,Y,Lebanese Republic,Pending,Y,2026-05-21 00:00:00,Y,Lebanon,LBN,pycountry,2026,5,21,No
1,2,ARB/26/21,Lansdowne Oil & Gas PLC and Lansdowne Celtic Sea Limited,Y,Ireland,Pending,Y,2026-05-08 00:00:00,Y,Ireland,IRL,pycountry,2026,5,8,Yes
2,3,ARB/26/20,Termocandelaria Power S.A.,Y,Republic of Colombia,Pending,Y,2026-04-27 00:00:00,Y,Colombia,COL,pycountry,2026,4,27,No
3,4,ARB/26/19,Canadian Pacific Kansas City Limited,Y,United Mexican States ,Pending,Y,2026-04-27 00:00:00,Y,Mexico,MEX,pycountry,2026,4,27,No
4,5,ARB/26/18,Ye Cheng and others,Y,Commonwealth of Australia,Pending,Y,2026-04-23 00:00:00,Y,Australia,AUS,embedded_pycountry,2026,4,23,No
5,6,ARB/26/17,Spectrum UA Credit LLC,Y,Ukraine,Pending,Y,2026-04-17 00:00:00,Y,Ukraine,UKR,pycountry,2026,4,17,No
6,7,ARB/26/16,Forty Management AG,Y,Romania,Pending,Y,2026-04-14 00:00:00,Y,Romania,ROU,pycountry,2026,4,14,No
7,8,ARB/26/15,Nagisa Murakami and others,Y,Swiss Confederation,Pending,Y,2026-04-10 00:00:00,Y,Switzerland,CHE,pycountry,2026,4,10,No
8,9,ARB/26/14,Shell Tunisia Upstream Limited and Shell Tunisia LPG S.A.,Y,Republic of Tunisia,Pending,Y,2026-04-07 00:00:00,Y,Tunisia,TUN,pycountry,2026,4,7,Yes
9,10,ARB/26/13,Falcon Energy Materials plc,Y,Republic of Guinea,Pending,Y,2026-03-31 00:00:00,Y,Guinea,GIN,pycountry,2026,3,31,Yes
10,11,ARB/26/12,Sinolam International Pte Ltd,Y,Republic of Panama,Pending,Y,2026-03-16 00:00:00,Y,Panama,PAN,pycountry,2026,3,16,No
11,12,ARB/26/11,Koninklijke Ahold Delhaize N.V. and Delhaize 'The Lion' Nederland B.V.,Y,Republic of Serbia,Pending,Y,2026-03-03 00:00:00,Y,Serbia,SRB,pycountry,2026,3,3,No
12,13,ARB/26/10,Agip Caspian Sea B.V. and others,Y,Republic of Kazakhstan,Pending,Y,2026-02-27 00:00:00,Y,Kazakhstan,KAZ,pycountry,2026,2,27,Yes
13,14,ARB/26/9,Al Oroba for Real Estate Investment Company and others,Y,Arab Republic of Egypt,Pending,Y,2026-02-19 00:00:00,Y,Egypt,EGY,pycountry,2026,2,19,No
14,15,ARB/26/8,Blue Water Worldwide LLC and others,Y,Republic of Peru,Pending,Y,2026-02-10 00:00:00,Y,Peru,PER,pycountry,2026,2,10,No
