country_clean,case_number,year,mining_case,economy_classification
Lebanon,ARB/26/22,2026,No,Developing
Ireland,ARB/26/21,2026,Yes,Developed
Colombia,ARB/26/20,2026,No,Developing
Mexico,ARB/26/19,2026,No,Developing
Australia,ARB/26/18,2026,No,Developed
Ukraine,ARB/26/17,2026,No,Developed
Romania,ARB/26/16,2026,No,Developed
Switzerland,ARB/26/15,2026,No,Developed
Tunisia,ARB/26/14,2026,Yes,Developing
Guinea,ARB/26/13,2026,Yes,Developing
Panama,ARB/26/12,2026,No,Developing
Serbia,ARB/26/11,2026,No,Developed
Kazakhstan,ARB/26/10,2026,Yes,Developing
Egypt,ARB/26/9,2026,No,Developing
Peru,ARB/26/8,2026,No,Developing
Burundi,ARB(AF)/26/2,2026,Yes,Developing
Argentina,ARB/26/7,2026,No,Developing
Canada,ARB/26/6,2026,Yes,Developed
Peru,ARB/26/5,2026,Yes,Developing
Switzerland,ARB/26/4,2026,No,Developed
Netherlands,ARB/26/2,2026,Yes,Developed
Guinea,ARB/26/3,2026,Yes,Developing
Switzerland,ARB/26/1,2026,No,Developed
Burundi,ARB(AF)/26/1,2026,Yes,Developing
Guinea,ARB/25/56,2025,Yes,Developing
Algeria,ARB/25/55,2025,No,Developing
Kenya,ARB/25/54,2025,No,Developing
"Venezuela, Bolivarian Republic Of",ARB(AF)/25/6,2025,Yes,Developing
Colombia,ARB/25/53,2025,No,Developing
Romania,ARB/25/51,2025,No,Developed
Bangladesh,ARB/25/52,2025,No,Developing
Chile,ARB/25/50,2025,No,Developing
Mexico,ARB/25/49,2025,No,Developing
Guinea,ARB/25/48,2025,Yes,Developing
Ukraine,ARB/25/47,2025,No,Developed
Ecuador,ARB/25/46,2025,No,Developing
Cyprus,ARB/25/45,2025,No,Developed
Tanzania,ARB/25/44,2025,Yes,Developing
Tanzania,ARB/25/43,2025,Yes,Developing
"Tanzania, United Republic Of",ARB/25/42,2025,Yes,Developing
Ukraine,ARB/25/41,2025,Yes,Developed
Turkmenistan,ARB/25/40,2025,Yes,Developing
Panama,ARB/25/39,2025,No,Developing
Ukraine,ARB/25/38,2025,Yes,Developed
United Kingdom,ARB/25/37,2025,Yes,Developed
Montenegro,ARB/25/36,2025,Yes,Developed
Uruguay,ARB/25/35,2025,No,Developing
Italy,ARB/25/34,2025,No,Developed
Costa Rica,ARB/25/33,2025,No,Developing
Mexico,ARB/25/32,2025,No,Developing
Paraguay,ARB/25/31,2025,No,Developing
Mexico,ARB/25/30,2025,Yes,Developing
Panama,ARB/25/29,2025,No,Developing
Ukraine,ARB/25/28,2025,No,Developed
Belgium,ARB(AF)/25/5,2025,No,Developed
Malaysia,ARB/25/27,2025,No,Developing
France,ARB/25/26,2025,No,Developed
"Moldova, Republic Of",ARB/25/25,2025,No,Developed
Uzbekistan,ARB/25/24,2025,No,Developing
Senegal,ARB/25/23,2025,Yes,Developing
Morocco,ARB/25/22,2025,Yes,Developing
Angola,ARB/25/21,2025,No,Developing
Honduras,ARB(AF)/25/4,2025,No,Developing
Panama,ARB/25/20,2025,Yes,Developing
Ecuador,ARB/25/19,2025,Yes,Developing
Costa Rica,ARB(AF)/25/3,2025,No,Developing
"Venezuela, Bolivarian Republic Of",ARB(AF)/25/2,2025,Yes,Developing
Myanmar,ARB(AF)/25/1,2025,Yes,Developing
Panama,ARB/25/18,2025,Yes,Developing
Mexico,ARB/25/17,2025,Yes,Developing
Colombia,ARB/25/16,2025,Yes,Developing
Comoros,ARB/25/15,2025,No,Developing
Peru,ARB/25/14,2025,No,Developing
Kazakhstan,ARB/25/13,2025,Yes,Developing
Ecuador,ARB/25/12,2025,Yes,Developing
Algeria,ARB/25/11,2025,No,Developing
Ukraine,ARB/25/10,2025,No,Developed
Niger,ARB/25/9,2025,Yes,Developing
Niger,ARB/25/8,2025,Yes,Developing
Mexico,ARB/25/7,2025,No,Developing
Togo,CONC/25/1,2025,No,Developing
El Salvador,ARB/25/6,2025,No,Developing
Colombia,ARB/25/5,2025,No,Developing
Colombia,ARB/25/4,2025,No,Developing
Congo,ARB/25/3,2025,Yes,Developing
Mali,ARB/25/2,2025,Yes,Developing
Niger,ARB/25/1,2025,Yes,Developing
Tunisia,ARB/24/52,2024,Yes,Developing
Peru,ARB/24/53,2024,No,Developing
Burkina Faso,ARB/24/51,2024,Yes,Developing
Canada,ARB/24/50,2024,Yes,Developed
Mexico,ARB/24/49,2024,No,Developing
Rwanda,ARB/24/48,2024,Yes,Developing
Côte D'Ivoire,ARB/24/47,2024,No,Developing
Türkiye,ARB/24/46,2024,No,Developing
Spain,ARB/24/45,2024,No,Developed
Netherlands,ARB/24/44,2024,Yes,Developed
Peru,ARB/24/43,2024,No,Developing
"Tanzania, United Republic Of",ARB/24/42,2024,No,Developing
Philippines,ARB/24/41,2024,No,Developing
Mozambique,ARB/24/40,2024,Yes,Developing
Bangladesh,ARB/24/39,2024,Yes,Developing
Finland,ARB/24/38,2024,No,Developed
Finland,ARB/24/37,2024,No,Developed
South Sudan,ARB/24/36,2024,Yes,Developing
Ukraine,ARB/24/35,2024,No,Developed
Honduras,ARB/24/34,2024,No,Developing
Honduras,ARB/24/33,2024,No,Developing
Honduras,ARB/24/32,2024,No,Developing
Honduras,ARB/24/31,2024,No,Developing
Chile,ARB/24/30,2024,No,Developing
Peru,ARB/24/29,2024,Yes,Developing
