Date_Concluded,casedecisions,caseid,caseno,caseproceedings,casetitle,casetype,claimant,date_concluded_order,econsector,instrumentinvk1,instrumentinvk2,isapproved,partiessub,respondent,rulesapplied,seatarbitration,status,subject
,"[{'Date_Concluded': '', 'availinsite': None, 'bibliography': '', 'date_concluded_order': '', 'dcsndate': None, 'dcsnid': '', 'dcsntitle': '', 'docid': None, 'docurl': '', 'docurlen': '', 'docurlfr': '', 'docurlsp': '', 'isapproved': 'Y', 'isonline': '', 'isvideo': '', 'original': '', 'proceedingtype': '', 'publisheddecisions': None, 'translated': '', 'videotitle': '', 'videourl': ''}]",1,ARB/26/21,"[{'Date_Concluded': None, 'arb_history': None, 'arbitrators': None, 'claimant': None, 'claimanthdr': None, 'clmnt_nationality': None, 'compoftribunalhdr': None, 'date_concluded_order': None, 'dateconstituted': '', 'datecreated': '', 'dateofconsthdr': None, 'datepublished': '', 'daterange': '', 'dateregistered': '5/8/2026 12:00:00 AM', 'development': '', 'isapproved': 'Y', 'language': None, 'lastproc': '', 'president': None, 'proceedingid': '', 'prsdnt_history': None, 'prtyisapproved': '', 'reconstituted': None, 'remarks': '', 'resp_nationality': None, 'respondent': None, 'sequenceno': '', 'status': None, 'title': '', 'trbisapproved': '', 'trbnlid': ''}]",,,Lansdowne Oil & Gas PLC and Lansdowne Celtic Sea Limited,,,,,Y,,Ireland,,,Pending,
,"[{'Date_Concluded': '', 'availinsite': None, 'bibliography': '', 'date_concluded_order': '', 'dcsndate': None, 'dcsnid': '', 'dcsntitle': '', 'docid': None, 'docurl': '', 'docurlen': '', 'docurlfr': '', 'docurlsp': '', 'isapproved': 'Y', 'isonline': '', 'isvideo': '', 'original': '', 'proceedingtype': '', 'publisheddecisions': None, 'translated': '', 'videotitle': '', 'videourl': ''}]",2,ARB/26/14,"[{'Date_Concluded': None, 'arb_history': None, 'arbitrators': None, 'claimant': None, 'claimanthdr': None, 'clmnt_nationality': None, 'compoftribunalhdr': None, 'date_concluded_order': None, 'dateconstituted': '', 'datecreated': '', 'dateofconsthdr': None, 'datepublished': '', 'daterange': '', 'dateregistered': '4/7/2026 12:00:00 AM', 'development': '', 'isapproved': 'Y', 'language': None, 'lastproc': '', 'president': None, 'proceedingid': '', 'prsdnt_history': None, 'prtyisapproved': '', 'reconstituted': None, 'remarks': '', 'resp_nationality': None, 'respondent': None, 'sequenceno': '', 'status': None, 'title': '', 'trbisapproved': '', 'trbnlid': ''}]",,,Shell Tunisia Upstream Limited and Shell Tunisia LPG S.A.,,,,,Y,,Republic of Tunisia,,,Pending,
,"[{'Date_Concluded': '', 'availinsite': None, 'bibliography': '', 'date_concluded_order': '', 'dcsndate': None, 'dcsnid': '', 'dcsntitle': '', 'docid': None, 'docurl': '', 'docurlen': '', 'docurlfr': '', 'docurlsp': '', 'isapproved': 'Y', 'isonline': '', 'isvideo': '', 'original': '', 'proceedingtype': '', 'publisheddecisions': None, 'translated': '', 'videotitle': '', 'videourl': ''}]",3,ARB/26/13,"[{'Date_Concluded': None, 'arb_history': None, 'arbitrators': None, 'claimant': None, 'claimanthdr': None, 'clmnt_nationality': None, 'compoftribunalhdr': None, 'date_concluded_order': None, 'dateconstituted': '', 'datecreated': '', 'dateofconsthdr': None, 'datepublished': '', 'daterange': '', 'dateregistered': '3/31/2026 12:00:00 AM', 'development': '', 'isapproved': 'Y', 'language': None, 'lastproc': '', 'president': None, 'proceedingid': '', 'prsdnt_history': None, 'prtyisapproved': '', 'reconstituted': None, 'remarks': '', 'resp_nationality': None, 'respondent': None, 'sequenceno': '', 'status': None, 'title': '', 'trbisapproved': '', 'trbnlid': ''}]",,,Falcon Energy Materials plc,,,,,Y,,Republic of Guinea,,,Pending,
,"[{'Date_Concluded': '', 'availinsite': None, 'bibliography': '', 'date_concluded_order': '', 'dcsndate': None, 'dcsnid': '', 'dcsntitle': '', 'docid': None, 'docurl': '', 'docurlen': '', 'docurlfr': '', 'docurlsp': '', 'isapproved': 'Y', 'isonline': '', 'isvideo': '', 'original': '', 'proceedingtype': '', 'publisheddecisions': None, 'translated': '', 'videotitle': '', 'videourl': ''}]",4,ARB/26/10,"[{'Date_Concluded': None, 'arb_history': None, 'arbitrators': None, 'claimant': None, 'claimanthdr': None, 'clmnt_nationality': None, 'compoftribunalhdr': None, 'date_concluded_order': None, 'dateconstituted': '', 'datecreated': '', 'dateofconsthdr': None, 'datepublished': '', 'daterange': '', 'dateregistered': '2/27/2026 12:00:00 AM', 'development': '', 'isapproved': 'Y', 'language': None, 'lastproc': '', 'president': None, 'proceedingid': '', 'prsdnt_history': None, 'prtyisapproved': '', 'reconstituted': None, 'remarks': '', 'resp_nationality': None, 'respondent': None, 'sequenceno': '', 'status': None, 'title': '', 'trbisapproved': '', 'trbnlid': ''}]",,,Agip Caspian Sea B.V. and others,,,,,Y,,Republic of Kazakhstan,,,Pending,
,"[{'Date_Concluded': '', 'availinsite': None, 'bibliography': '', 'date_concluded_order': '', 'dcsndate': None, 'dcsnid': '', 'dcsntitle': '', 'docid': None, 'docurl': '', 'docurlen': '', 'docurlfr': '', 'docurlsp': '', 'isapproved': 'Y', 'isonline': '', 'isvideo': '', 'original': '', 'proceedingtype': '', 'publisheddecisions': None, 'translated': '', 'videotitle': '', 'videourl': ''}]",5,ARB(AF)/26/2,"[{'Date_Concluded': None, 'arb_history': None, 'arbitrators': None, 'claimant': None, 'claimanthdr': None, 'clmnt_nationality': None, 'compoftribunalhdr': None, 'date_concluded_order': None, 'dateconstituted': '', 'datecreated': '', 'dateofconsthdr': None, 'datepublished': '', 'daterange': '', 'dateregistered': '2/5/2026 12:00:00 AM', 'development': '', 'isapproved': 'Y', 'language': None, 'lastproc': '', 'president': None, 'proceedingid': '', 'prsdnt_history': None, 'prtyisapproved': '', 'reconstituted': None, 'remarks': '', 'resp_nationality': None, 'respondent': None, 'sequenceno': '', 'status': None, 'title': '', 'trbisapproved': '', 'trbnlid': ''}]",,,Tanganyika Gold S.A.,,,,,Y,,Republic of Burundi ,,,Pending,
,"[{'Date_Concluded': '', 'availinsite': None, 'bibliography': '', 'date_concluded_order': '', 'dcsndate': None, 'dcsnid': '', 'dcsntitle': '', 'docid': None, 'docurl': '', 'docurlen': '', 'docurlfr': '', 'docurlsp': '', 'isapproved': 'Y', 'isonline': '', 'isvideo': '', 'original': '', 'proceedingtype': '', 'publisheddecisions': None, 'translated': '', 'videotitle': '', 'videourl': ''}]",6,ARB/26/6,"[{'Date_Concluded': None, 'arb_history': None, 'arbitrators': None, 'claimant': None, 'claimanthdr': None, 'clmnt_nationality': None, 'compoftribunalhdr': None, 'date_concluded_order': None, 'dateconstituted': '', 'datecreated': '', 'dateofconsthdr': None, 'datepublished': '', 'daterange': '', 'dateregistered': '1/30/2026 12:00:00 AM', 'development': '', 'isapproved': 'Y', 'language': None, 'lastproc': '', 'president': None, 'proceedingid': '', 'prsdnt_history': None, 'prtyisapproved': '', 'reconstituted': None, 'remarks': '', 'resp_nationality': None, 'respondent': None, 'sequenceno': '', 'status': None, 'title': '', 'trbisapproved': '', 'trbnlid': ''}]",,,Igor Viktorovich Makarov,,,,,Y,,Canada,,,Pending,
,"[{'Date_Concluded': '', 'availinsite': None, 'bibliography': '', 'date_concluded_order': '', 'dcsndate': None, 'dcsnid': '', 'dcsntitle': '', 'docid': None, 'docurl': '', 'docurlen': '', 'docurlfr': '', 'docurlsp': '', 'isapproved': 'Y', 'isonline': '', 'isvideo': '', 'original': '', 'proceedingtype': '', 'publisheddecisions': None, 'translated': '', 'videotitle': '', 'videourl': ''}]",7,ARB/26/5,"[{'Date_Concluded': None, 'arb_history': None, 'arbitrators': None, 'claimant': None, 'claimanthdr': None, 'clmnt_nationality': None, 'compoftribunalhdr': None, 'date_concluded_order': None, 'dateconstituted': '', 'datecreated': '', 'dateofconsthdr': None, 'datepublished': '', 'daterange': '', 'dateregistered': '1/22/2026 12:00:00 AM', 'development': '', 'isapproved': 'Y', 'language': None, 'lastproc': '', 'president': None, 'proceedingid': '', 'prsdnt_history': None, 'prtyisapproved': '', 'reconstituted': None, 'remarks': '', 'resp_nationality': None, 'respondent': None, 'sequenceno': '', 'status': None, 'title': '', 'trbisapproved': '', 'trbnlid': ''}]",,,"Upland Oil and Gas LLC and Upland Oil and Gas LLC, Sucursal del Perú",,,,,Y,,"PeruPetro, S.A.",,,Pending,
,"[{'Date_Concluded': '', 'availinsite': None, 'bibliography': '', 'date_concluded_order': '', 'dcsndate': None, 'dcsnid': '', 'dcsntitle': '', 'docid': None, 'docurl': '', 'docurlen': '', 'docurlfr': '', 'docurlsp': '', 'isapproved': 'Y', 'isonline': '', 'isvideo': '', 'original': '', 'proceedingtype': '', 'publisheddecisions': None, 'translated': '', 'videotitle': '', 'videourl': ''}]",8,ARB/26/2,"[{'Date_Concluded': None, 'arb_history': None, 'arbitrators': None, 'claimant': None, 'claimanthdr': None, 'clmnt_nationality': None, 'compoftribunalhdr': None, 'date_concluded_order': None, 'dateconstituted': '', 'datecreated': '', 'dateofconsthdr': None, 'datepublished': '', 'daterange': '', 'dateregistered': '1/15/2026 12:00:00 AM', 'development': '', 'isapproved': 'Y', 'language': None, 'lastproc': '', 'president': None, 'proceedingid': '', 'prsdnt_history': None, 'prtyisapproved': '', 'reconstituted': None, 'remarks': '', 'resp_nationality': None, 'respondent': None, 'sequenceno': '', 'status': None, 'title': '', 'trbisapproved': '', 'trbnlid': ''}]",,,Shell PLC,,,,,Y,,Kingdom of the Netherlands ,,,Pending,
,"[{'Date_Concluded': '', 'availinsite': None, 'bibliography': '', 'date_concluded_order': '', 'dcsndate': None, 'dcsnid': '', 'dcsntitle': '', 'docid': None, 'docurl': '', 'docurlen': '', 'docurlfr': '', 'docurlsp': '', 'isapproved': 'Y', 'isonline': '', 'isvideo': '', 'original': '', 'proceedingtype': '', 'publisheddecisions': None, 'translated': '', 'videotitle': '', 'videourl': ''}]",9,ARB/26/3,"[{'Date_Concluded': None, 'arb_history': None, 'arbitrators': None, 'claimant': None, 'claimanthdr': None, 'clmnt_nationality': None, 'compoftribunalhdr': None, 'date_concluded_order': None, 'dateconstituted': '', 'datecreated': '', 'dateofconsthdr': None, 'datepublished': '', 'daterange': '', 'dateregistered': '1/16/2026 12:00:00 AM', 'development': '', 'isapproved': 'Y', 'language': None, 'lastproc': '', 'president': None, 'proceedingid': '', 'prsdnt_history': None, 'prtyisapproved': '', 'reconstituted': None, 'remarks': '', 'resp_nationality': None, 'respondent': None, 'sequenceno': '', 'status': None, 'title': '', 'trbisapproved': '', 'trbnlid': ''}]",,,Axis International Limited,,,,,Y,,Republic of Guinea,,,Pending,
,"[{'Date_Concluded': '', 'availinsite': None, 'bibliography': '', 'date_concluded_order': '', 'dcsndate': None, 'dcsnid': '', 'dcsntitle': '', 'docid': None, 'docurl': '', 'docurlen': '', 'docurlfr': '', 'docurlsp': '', 'isapproved': 'Y', 'isonline': '', 'isvideo': '', 'original': '', 'proceedingtype': '', 'publisheddecisions': None, 'translated': '', 'videotitle': '', 'videourl': ''}]",10,ARB(AF)/26/1,"[{'Date_Concluded': None, 'arb_history': None, 'arbitrators': None, 'claimant': None, 'claimanthdr': None, 'clmnt_nationality': None, 'compoftribunalhdr': None, 'date_concluded_order': None, 'dateconstituted': '', 'datecreated': '', 'dateofconsthdr': None, 'datepublished': '', 'daterange': '', 'dateregistered': '1/6/2026 12:00:00 AM', 'development': '', 'isapproved': 'Y', 'language': None, 'lastproc': '', 'president': None, 'proceedingid': '', 'prsdnt_history': None, 'prtyisapproved': '', 'reconstituted': None, 'remarks': '', 'resp_nationality': None, 'respondent': None, 'sequenceno': '', 'status': None, 'title': '', 'trbisapproved': '', 'trbnlid': ''}]",,,Ntega Holding Burundi S.A.,,,,,Y,,Republic of Burundi,,,Pending,
